street,suburb,numbers,postcode,lon,lat,accuracy,matchedaddress
"Armilla Lane","Hei Hei","","8042","172.534703","-43.531372","street","Armilla Lane, Hei Hei, Christchurch"
"Armitage Street","Bishopdale","","8053","172.590778","-43.492159","street","Armitage Street, Bishopdale, Christchurch"
"Armour Place","Halswell","","8025","172.578625","-43.581829","street","Armour Place, Halswell, Christchurch"
"Armstrong Avenue","St Martins","","8022","172.65805","-43.562509","street","Armstrong Avenue, St Martins, Christchurch"
"Armstrong Crescent","Akaroa","","7520","172.969023","-43.808674","street","Armstrong Crescent, Akaroa, Christchurch"
"Arncliff Street","Bexley","","8061","172.720431","-43.512574","street","Arncliff Street, Bexley, Christchurch"
"Arnold Street","Sumner","","8081","172.761394","-43.576036","street","Arnold Street, Sumner, Christchurch"
"Arnst Place","Burwood","","8061","172.681104","-43.5071","street","Arnst Place, Burwood, Christchurch"
"Arosa Place","Parklands","","8083","172.702814","-43.476588","street","Arosa Place, Parklands, Christchurch"
"Arran Courts","Woolston","","8062","172.678035","-43.53945","street","Arran Courts, Woolston, Christchurch"
"Arran Crescent","Woolston","","8062","172.677134","-43.540624","street","Arran Crescent, Woolston, Christchurch"
"Arthur Street Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Arthurson Mews","Woolston","","8023","172.665302","-43.546279","street","Arthurson Mews, Woolston, Christchurch"
"Arts Road","Ilam","","8041","172.585793","-43.524246","street","Arts Road, Ilam, Christchurch"
"Arundel Gate","Avonhead","","8042","172.545487","-43.511461","street","Arundel Gate, Avonhead, Christchurch"
"Ascot Avenue","North Beach","","8083","172.708642","-43.489065","street","Ascot Avenue, North Beach, Christchurch"
"Ash Street","Christchurch Central","","8011","172.642001","-43.534737","street","Ash Street, Christchurch Central, Christchurch"
"Ashbourne Street","Burnside","","8053","172.569257","-43.502234","street","Ashbourne Street, Burnside, Christchurch"
"Ashbrook Lane","Barrington","","8024","172.616218","-43.572789","street","Ashbrook Lane, Barrington, Christchurch"
"Ashby Grove","Kaiapoi","","7630","172.65249","-43.395878","street","Ashby Grove, Kaiapoi, Waimakariri"
"Ashby Place","Bryndwr","","8052","172.596158","-43.510193","street","Ashby Place, Bryndwr, Christchurch"
"Ashcroft Place","Russley","","8053","172.564436","-43.499531","street","Ashcroft Place, Russley, Christchurch"
"Ashdale Lane","Strowan","","8052","172.59997","-43.5059","street","Ashdale Lane, Strowan, Christchurch"
"Ashfield Place","Ilam","","8041","172.573507","-43.518467","street","Ashfield Place, Ilam, Christchurch"
"Ashgrove Court","Lincoln","","7608","172.486918","-43.645504","street","Ashgrove Court, Lincoln, Selwyn"
"Ashgrove Terrace","Barrington","1-341","8024","172.626973","-43.567286","street","Ashgrove Terrace, Barrington, Christchurch"
"Ashley Place","Kaiapoi","","7630","172.651267","-43.383617","street","Ashley Place, Kaiapoi, Waimakariri"
