street,suburb,numbers,postcode,lon,lat,accuracy,matchedaddress
"Liffey Place","Lincoln","","7608","172.485893","-43.638745","street","Liffey Place, Lincoln, Selwyn"
"Liggins Street","Burwood","","8061","172.677052","-43.50035","street","Liggins Street, Burwood, Christchurch"
"Lighthouse Road","Akaroa","1-43","7520","172.971538","-43.84445","street","Lighthouse Road, Akaroa, Christchurch"
"Lightning Close","Hornby","","8042","172.541648","-43.549134","street","Lightning Close, Hornby, Christchurch"
"Lillian Street","Halswell","","8025","172.567355","-43.576695","street","Lillian Street, Halswell, Christchurch"
"Limburg Lane","Spreydon","","8024","172.6138","-43.550239","street","Limburg Lane, Spreydon, Christchurch"
"Lime Tree Lane","Harewood","","8051","172.577751","-43.47986","street","Lime Tree Lane, Harewood, Christchurch"
"Limes Avenue","Marshland","","8083","172.677557","-43.475639","street","Limes Avenue, Marshland, Christchurch"
"Lincoln Lane","Addington","","8011","172.617438","-43.540755","street","Lincoln Lane, Addington, Christchurch"
"Lincoln Road","Addington","361-365 (Odd Numbers)","8011","172.606236","-43.546882","street","Lincoln Road, Addington, Christchurch"
"Lincoln Road","Addington","386-410 (Even Numbers)","8011","172.606236","-43.546882","street","Lincoln Road, Addington, Christchurch"
"Lincoln Road","Barrington","1-359 (Odd Numbers)","8024","172.606236","-43.546882","street","Lincoln Road, Barrington, Christchurch"
"Lincoln Road","Barrington","8-376 (Even Numbers)","8024","172.606236","-43.546882","street","Lincoln Road, Barrington, Christchurch"
"Lincoln Rolleston Road","Rolleston","","7614","172.412989","-43.607008","street","Lincoln Rolleston Road, Rolleston, Selwyn"
"Lindis Lane New","Brighton","","8083","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Lindores Street","Addington","","8024","172.604424","-43.546975","street","Lindores Street, Addington, Christchurch"
"Lindores Street","Middleton","","8024","172.604424","-43.546975","street","Lindores Street, Middleton, Christchurch"
"Lindsay Street","St Albans","","8014","172.641136","-43.51149","street","Lindsay Street, St Albans, Christchurch"
"Lindum Place","Lincoln","","7608","172.488073","-43.634983","street","Lindum Place, Lincoln, Selwyn"
"Lineside Road","Kaiapoi","","7630","172.621577","-43.349735","street","Lineside Road, Kaiapoi, Waimakariri"
"Lingard Street","St Albans","","8052","172.622013","-43.503246","street","Lingard Street, St Albans, Christchurch"
"Link Road","Kainga","","8083","172.652501","-43.423505","street","Link Road, Kainga, Christchurch"
"Linkwater Way","Parklands","","8083","172.707323","-43.476759","street","Linkwater Way, Parklands, Christchurch"
"Linwood Avenue","Bromley","558-562","8023","172.680923","-43.538473","street","Linwood Avenue, Bromley, Christchurch"
"Linwood Avenue","Bromley","244-518","8062","172.680923","-43.538473","street","Linwood Avenue, Bromley, Christchurch"
"Linwood Avenue","Linwood","2-236","8011","172.680923","-43.538473","street","Linwood Avenue, Linwood, Christchurch"
"Lionel Street","Avonside","","8061","172.670931","-43.523076","street","Lionel Street, Avonside, Christchurch"
"Lismore Street","Waltham","","8011","172.653434","-43.543605","street","Lismore Street, Waltham, Christchurch"
"Little Hillier Place","Spreydon","","8024","172.613619","-43.547797","street","Little Hillier Place, Spreydon, Christchurch"
"Liverpool Street","Christchurch Central","","8011","172.64065","-43.532577","street","Liverpool Street, Christchurch Central, Christchurch"
"Liverton Crescent","Bishopdale","","8053","172.577229","-43.494093","street","Liverton Crescent, Bishopdale, Christchurch"
"Livingstone Street","Phillipstown","","8011","172.651576","-43.534891","street","Livingstone Street, Phillipstown, Christchurch"
"Lloyd Street","Strowan","","8052","172.607113","-43.511712","street","Lloyd Street, Strowan, Christchurch"
"Locarno Street","Opawa","","8023","172.660072","-43.552201","street","Locarno Street, Opawa, Christchurch"
"Lochee Road Upper","Riccarton","","8041","172.597017","-43.530505","suburb","Riccarton, Christchurch"
"Lochmore Street","Harewood","","8051","172.580206","-43.486131","street","Lochmore Street, Harewood, Christchurch"
"Lock Place","Hillsborough","","8022","","","",""
"Locksley Avenue","Burwood","","8061","172.681812","-43.513955","street","Locksley Avenue, Burwood, Christchurch"
"Locksley Avenue","Dallington","","8061","172.681812","-43.513955","street","Locksley Avenue, Dallington, Christchurch"
"Lodge Place","Ilam","","8041","172.564443","-43.522104","street","Lodge Place, Ilam, Christchurch"
"Loftus Street","Papanui","","8053","172.609543","-43.496233","street","Loftus Street, Papanui, Christchurch"
"Logan Close","Prebbleton","","7604","172.514493","-43.590702","street","Logan Close, Prebbleton, Selwyn"
"Logie Place","Bromley","","8062","172.682508","-43.538083","street","Logie Place, Bromley, Christchurch"
"Lois Place","Richmond","","8013","172.663839","-43.518454","street","Lois Place, Richmond, Christchurch"
"Lomax Place","Islington","","8042","172.510027","-43.542034","street","Lomax Place, Islington, Christchurch"
"Lombard Place","Avonhead","","8042","172.548614","-43.52087","street","Lombard Place, Avonhead, Christchurch"
"Lomond Place","Woolston","","8062","172.686858","-43.544271","street","Lomond Place, Woolston, Christchurch"
"London Street","Lyttelton","","8082","172.720533","-43.602416","street","London Street, Lyttelton, Christchurch"
"London Street","Richmond","","8013","172.653518","-43.520742","street","London Street, Richmond, Christchurch"
"Long Street","Woolston","","8023","172.686924","-43.556265","street","Long Street, Woolston, Christchurch"
"Longfellow Street","Sydenham","","8023","172.640565","-43.555939","street","Longfellow Street, Sydenham, Christchurch"
"Longhurst Terrace","Cashmere","","8022","172.639794","-43.580879","street","Longhurst Terrace, Cashmere, Christchurch"
"Longley Place","Addington","","8024","172.60626","-43.541465","street","Longley Place, Addington, Christchurch"
"Longmuir Street","Ilam","","8041","172.566289","-43.51391","street","Longmuir Street, Ilam, Christchurch"
"Longridge Drive","Mt Pleasant","","8081","172.721633","-43.574843","street","Longridge Drive, Mt Pleasant, Christchurch"
"Longstaffs Road","Halswell","20-20","8025","172.532796","-43.591664","street","Longstaffs Road, Halswell, Christchurch;Selwyn"
"Lonsdale Street New","Brighton","","8083","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Lookaway Lane","St Martins","","8022","172.650036","-43.56802","street","Lookaway Lane, St Martins, Christchurch"
"Lookaway Place","St Martins","","8022","172.650375","-43.568223","street","Lookaway Place, St Martins, Christchurch"
"Lordship Place","Templeton","","8042","172.465142","-43.549746","street","Lordship Place, Templeton, Christchurch"
"Loreto Place","Hornby","","8042","172.512174","-43.5459","street","Loreto Place, Hornby, Christchurch"
"Lothian Street","Ilam","2-25","8041","172.582287","-43.514856","street","Lothian Street, Ilam, Christchurch"
"Loughton Street","Burwood","","8083","172.684732","-43.497316","street","Loughton Street, Burwood, Christchurch"
"Louisa Chandler Lane","Linwood","","8011","172.652067","-43.527092","street","Louisa Chandler Lane, Linwood, Christchurch"
"Louisson Place","Opawa","","8023","172.666402","-43.556249","street","Louisson Place, Opawa, Christchurch"
"Lovelock Street","Dallington","","8061","172.676866","-43.514667","street","Lovelock Street, Dallington, Christchurch"
"Lowe Street","Addington","3-36","8011","172.608156","-43.53758","street","Lowe Street, Addington, Christchurch"
"Lower Camside Road","Kaiapoi","","7630","172.657861","-43.364822","street","Lower Camside Road, Kaiapoi, Waimakariri"
"Lower Styx Road","Bottle Lake","","8083","172.686832","-43.44158","street","Lower Styx Road, Bottle Lake, Christchurch"
"Lower Styx Road","Brooklands","","8083","172.686832","-43.44158","street","Lower Styx Road, Brooklands, Christchurch"
"Lower Styx Road","Marshland","","8083","172.686832","-43.44158","street","Lower Styx Road, Marshland, Christchurch"
"Lowes Road","Rolleston","2-410","7614","172.377414","-43.604569","street","Lowes Road, Rolleston, Selwyn"
"Lowick Avenue","Cashmere","","8022","172.623393","-43.576346","street","Lowick Avenue, Cashmere, Christchurch"
"Lowry Avenue","Redwood","","8051","172.623092","-43.46901","street","Lowry Avenue, Redwood, Christchurch"
"Lowther Street","Sockburn","","8042","172.550908","-43.5392","street","Lowther Street, Sockburn, Christchurch"
"Lucas Lane","Hillsborough","","8022","172.669188","-43.565486","street","Lucas Lane, Hillsborough, Christchurch"
"Lucienne Place","Hillsborough","","8022","172.671198","-43.562607","street","Lucienne Place, Hillsborough, Christchurch"
"Lucknow Place","Cashmere","","8022","172.619692","-43.575273","street","Lucknow Place, Cashmere, Christchurch"
"Ludecke Place","Sockburn","","8042","172.566131","-43.530846","street","Ludecke Place, Sockburn, Christchurch"
"Ludhiana Street","Casebrook","","8051","172.59669","-43.475683","street","Ludhiana Street, Casebrook, Christchurch"
"Ludlow Place","Parklands","","8083","172.698289","-43.470926","street","Ludlow Place, Parklands, Christchurch"
"Lulworth Lane","Westmorland","","8025","172.601168","-43.581468","street","Lulworth Lane, Westmorland, Christchurch"
"Lunns Road","Middleton","","8024","172.575794","-43.542876","street","Lunns Road, Middleton, Christchurch"
"Lupins Lane","Bromley","","8062","172.693582","-43.535265","street","Lupins Lane, Bromley, Christchurch"
"Lusk Place","Shirley","","8013","172.65586","-43.503438","street","Lusk Place, Shirley, Christchurch"
"Lutheran Close","Burwood","","8083","172.686187","-43.49128","street","Lutheran Close, Burwood, Christchurch"
"Luxton Place","Mt Pleasant","","8081","172.72245","-43.567251","street","Luxton Place, Mt Pleasant, Christchurch"
"Lyall Place","Burnside","","8053","172.583967","-43.50392","street","Lyall Place, Burnside, Christchurch"
"Lychgate Close","Linwood","","8011","172.657849","-43.525999","street","Lychgate Close, Linwood, Christchurch"
"Lydbury Place","Parklands","","8083","172.692049","-43.476058","street","Lydbury Place, Parklands, Christchurch"
"Lydia Street","Northcote","","8052","172.612217","-43.484628","street","Lydia Street, Northcote, Christchurch"
"Lyn Christie Place","Wainoni","","8061","172.684089","-43.523191","street","Lyn Christie Place, Wainoni, Christchurch"
"Lyndhurst Crescent","Aranui","","8061","172.701688","-43.51243","street","Lyndhurst Crescent, Aranui, Christchurch"
"Lyndon Street","Riccarton","1-23","8011","172.602481","-43.536132","street","Lyndon Street, Riccarton, Christchurch"
"Lyndon Street","Riccarton","25-55","8041","172.602481","-43.536132","street","Lyndon Street, Riccarton, Christchurch"
"Lynfield Avenue","Ilam","","8041","172.571072","-43.51885","street","Lynfield Avenue, Ilam, Christchurch"
"Lynn Place","Mairehau","","8013","172.652973","-43.500067","street","Lynn Place, Mairehau, Christchurch"
"Lytham Green","Shirley","","8061","172.666895","-43.493246","street","Lytham Green, Shirley, Christchurch"
"Lyttelton Street","Barrington","","8024","172.609809","-43.558035","street","Lyttelton Street, Barrington, Christchurch"
"Lyttelton Street","Lincoln","","7608","172.482518","-43.639245","street","Lyttelton Street, Lincoln, Selwyn"
"Mabel Howard Place","Avonside","","8061","172.677342","-43.520058","street","Mabel Howard Place, Avonside, Christchurch"
"Macann Lane","Spreydon","","8024","172.611132","-43.549464","street","Macann Lane, Spreydon, Christchurch"
"MacArtney Avenue","Halswell","","8025","172.574559","-43.582868","street","Macartney Avenue, Halswell, Christchurch"
"MacAulay Street","Addington","","8024","172.614996","-43.54643","street","MacAulay Street, Addington, Christchurch"
"MacDonalds Road","Belfast","","8051","172.653133","-43.44479","street","MacDonalds Road, Belfast, Christchurch"
"Maces Road","Bromley","","8062","172.693879","-43.536135","street","Maces Road, Bromley, Christchurch"
"MacGibbon Place","Spreydon","","8024","172.627286","-43.550503","street","MacGibbon Place, Spreydon, Christchurch"
"MacKenzie Avenue","Woolston","6-178 (Even Numbers)","8023","172.667262","-43.548003","street","MacKenzie Avenue, Woolston, Christchurch"
"Mackworth Street","Woolston","","8062","172.672009","-43.541042","street","Mackworth Street, Woolston, Christchurch"
"MacMillan Avenue","Cashmere","","8022","172.628298","-43.574849","street","MacMillan Avenue, Cashmere, Christchurch"
"Maddisons Road","Templeton","121-150","8042","172.42977","-43.555798","street","Maddisons Road, Templeton, Christchurch;Selwyn"
"Madeley Road","Mt Pleasant","","8081","172.720679","-43.571833","street","Madeley Road, Mt Pleasant, Christchurch"
"Madras Street","Christchurch Central","118-297","8011","172.642622","-43.5254","street","Madras Street, Christchurch Central, Christchurch"
"Madras Street","Christchurch Central","303-412","8013","172.642622","-43.5254","street","Madras Street, Christchurch Central, Christchurch"
"Madras Street","St Albans","417-619 (Odd Numbers)","8014","172.642622","-43.5254","street","Madras Street, St Albans, Christchurch"
"Madras Street","St Albans","420-608 (Even Numbers)","8014","172.642622","-43.5254","street","Madras Street, St Albans, Christchurch"
"Mafeking Street New","Brighton","","8061","172.728701","-43.508639","street","Mafeking Street, New Brighton, Christchurch"
"Maffeys Road","Mt Pleasant","","8081","172.723924","-43.560217","street","Maffeys Road, Mt Pleasant, Christchurch"
"Magdala Place","Middleton","","8024","172.580396","-43.54566","street","Magdala Place, Middleton, Christchurch"
"Magenta Place","Broomfield","","8042","172.527855","-43.528824","street","Magenta Place, Broomfield, Christchurch"
"Magnolia Boulevard","Kaiapoi","","7630","172.666372","-43.371377","street","Magnolia Boulevard, Kaiapoi, Waimakariri"
"Magnolia Lane","St Albans","","8052","172.632325","-43.498363","street","Magnolia Lane, St Albans, Christchurch"
"Mahars Road","Mairehau","3-57","8013","172.643623","-43.498445","street","Mahars Road, Mairehau, Christchurch"
"Mahars Road","Mairehau","60-83","8052","172.643623","-43.498445","street","Mahars Road, Mairehau, Christchurch"
"Mahlet Street","Northwood","","8051","172.616482","-43.46151","street","Mahlet Street, Northwood, Christchurch"
"Mahoe Street","Templeton","","8042","172.471763","-43.553435","street","Mahoe Street, Templeton, Christchurch"
"Mahuri Street","Parklands","","8083","172.689426","-43.47689","street","Mahuri Street, Parklands, Christchurch"
"Maidstone Road","Avonhead","154-259","8042","172.56562","-43.51679","street","Maidstone Road, Avonhead, Christchurch"
"Maidstone Road","Ilam","2-148","8041","172.56562","-43.51679","street","Maidstone Road, Ilam, Christchurch"
"Main North Road","Kainga","888-1330 (Even Numbers)","8083","172.662163","-43.411283","suburb","Kainga, Christchurch"
"Main North Road","Kainga","1051-1283 (Odd Numbers)","8083","172.662163","-43.411283","suburb","Kainga, Christchurch"
"Main North Road","Belfast","151-171 (Odd Numbers)","8051","172.627529","-43.452606","street","Main North Road, Belfast, Christchurch"
"Main North Road","Belfast","191-905 (Odd Numbers)","8051","172.627529","-43.452606","street","Main North Road, Belfast, Christchurch"
"Main North Road","Belfast","166-870 (Even Numbers)","8051","172.627529","-43.452606","street","Main North Road, Belfast, Christchurch"
"Main North Road","Belfast","177-187 (Odd Numbers)","8052","172.627529","-43.452606","street","Main North Road, Belfast, Christchurch"
"Main North Road","Kaiapoi","180-203","7630","172.627529","-43.452606","street","Main North Road, Kaiapoi, Christchurch"
"Main North Road","Northcote","45-149 (Odd Numbers)","8052","172.627529","-43.452606","street","Main North Road, Northcote, Christchurch"
"Main North Road","Northcote","40-48 (Even Numbers)","8052","172.627529","-43.452606","street","Main North Road, Northcote, Christchurch"
"Main North Road","Northcote","50-54 (Even Numbers)","8053","172.627529","-43.452606","street","Main North Road, Northcote, Christchurch"
"Main North Road","Northcote","56-158 (Even Numbers)","8053","172.627529","-43.452606","street","Main North Road, Northcote, Christchurch"
"Main North Road","Papanui","1-43 (Odd Numbers)","8053","172.627529","-43.452606","street","Main North Road, Papanui, Christchurch"
"Main North Road","Papanui","2-36 (Even Numbers)","8053","172.627529","-43.452606","street","Main North Road, Papanui, Christchurch"
"Main Road","Redcliffs","","8081","172.733853","-43.558022","street","Main Road, Redcliffs, Christchurch"
"Main South Road","Burnham","2239-2374","7600","172.306106","-43.618533","street","Main South Road, Burnham, Selwyn"
"Main South Road","Hornby","","8042","172.521009","-43.543899","street","Main South Road, Hornby, Christchurch;Selwyn"
"Main South Road","Islington","","8042","172.521009","-43.543899","street","Main South Road, Islington, Christchurch;Selwyn"
"Main South Road","Rolleston","43-81","7614","172.373241","-43.592863","street","Main South Road, Rolleston, Selwyn"
"Main South Road","Sockburn","1-193","8042","172.521009","-43.543899","street","Main South Road, Sockburn, Christchurch;Selwyn"
"Main South Road","Templeton","735-971","8042","172.426465","-43.575015","street","Main South Road, Templeton, Selwyn"
"Mairehau Road","Marshland","","8083","172.681119","-43.482763","street","Mairehau Road, Marshland, Christchurch"
"Mairehau Road","Parklands","","8083","172.681119","-43.482763","street","Mairehau Road, Parklands, Christchurch"
"Majestic Lane","Cashmere","","8022","172.634904","-43.563941","street","Majestic Lane, Cashmere, Christchurch"
"Major Aitken Drive","Cashmere","","8022","172.648343","-43.573263","street","Major Aitken Drive, Cashmere, Christchurch"
"Major Hornbrook Road","Heathcote Valley","","8081","172.715413","-43.567844","street","Major Hornbrook Road, Heathcote Valley, Christchurch"
"Major Hornbrook Road","Mt Pleasant","","8081","172.715413","-43.567844","street","Major Hornbrook Road, Mt Pleasant, Christchurch"
"Major Hornbrook Track","Lyttelton","","8082","172.718976","-43.591318","street","Major Hornbrook Track, Lyttelton, Christchurch"
"Makora Street","Fendalton","","8041","172.594589","-43.52033","street","Makora Street, Fendalton, Christchurch"
"Malabar Crescent","Broomfield","","8042","172.52786","-43.5292","street","Malabar Crescent, Broomfield, Christchurch"
"Malcolm Avenue","Beckenham","26-119","8023","172.642765","-43.565018","street","Malcolm Avenue, Beckenham, Christchurch"
"Malcolm Avenue","Cashmere","1-18","8022","172.642765","-43.565018","street","Malcolm Avenue, Cashmere, Christchurch"
"Maldon Street","Sydenham","","8023","172.639719","-43.54666","street","Maldon Street, Sydenham, Christchurch"
"Maling Street","Avonside","","8061","172.667204","-43.516663","street","Maling Street, Avonside, Christchurch"
"Mallard Place","Ferrymead","","8023","172.693787","-43.55248","street","Mallard Place, Ferrymead, Christchurch"
"Mallett Place","Halswell","","8025","172.567332","-43.592291","street","Mallett Place, Halswell, Christchurch"
"Malta Crescent South New","Brighton","","8062","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Malthouse Lane","Heathcote Valley","","8022","172.705334","-43.576424","street","Malthouse Lane, Heathcote Valley, Christchurch"
"Malvern Street","Mairehau","112-122","8013","172.632566","-43.504433","street","Malvern Street, Mairehau, Christchurch"
"Malvern Street","St Albans","3-104","8014","172.632566","-43.504433","street","Malvern Street, St Albans, Christchurch"
"Manatu Lane","Waltham","","8023","172.657161","-43.550247","street","Manatu Lane, Waltham, Christchurch"
"Manchester Street","Christchurch Central","11-293 (Odd Numbers)","8011","172.639632","-43.52662","street","Manchester Street, Christchurch, Christchurch"
"Manchester Street","Christchurch Central","4-232 (Even Numbers)","8011","172.639632","-43.52662","street","Manchester Street, Christchurch, Christchurch"
"Manchester Street","Christchurch Central","301-425 (Odd Numbers)","8013","172.639632","-43.52662","street","Manchester Street, Christchurch, Christchurch"
"Manchester Street","Christchurch Central","242-356 (Even Numbers)","8013","172.639632","-43.52662","street","Manchester Street, Christchurch, Christchurch"
"Manchester Street","St Albans","429-577 (Odd Numbers)","8014","172.639632","-43.52662","street","Manchester Street, St Albans, Christchurch"
"Manchester Street","St Albans","374-514 (Even Numbers)","8014","172.639632","-43.52662","street","Manchester Street, St Albans, Christchurch"
"Mandalay Lane","Redcliffs","","8081","172.734224","-43.567212","street","Mandalay Lane, Redcliffs, Christchurch"
"Mandeville Street","Riccarton","","8011","172.606609","-43.532968","street","Mandeville Street, Riccarton, Christchurch"
"Manhire Street","Spreydon","","8024","172.627799","-43.550758","street","Manhire Street, Spreydon, Christchurch"
"Manly Place","North Beach","","8083","172.71932","-43.494269","street","Manly Place, North Beach, Christchurch"
"Manning Place","Woolston","","8023","172.666915","-43.544211","street","Manning Place, Woolston, Christchurch"
"Manor Place","Papanui","","8053","172.590361","-43.500023","street","Manor Place, Papanui, Christchurch"
"Manse Place","Redwood","","8051","172.616354","-43.478146","street","Manse Place, Redwood, Christchurch"
"Manse Road","Leeston","","7632","172.301552","-43.75503","street","Manse Road, Leeston, Selwyn"
"Mansfield Avenue","St Albans","","8014","172.623757","-43.510712","street","Mansfield Avenue, St Albans, Christchurch"
"Mansfield Drive","Kaiapoi","","7630","172.648982","-43.390453","street","Mansfield Drive, Kaiapoi, Waimakariri"
"Manson Place","Avonhead","","8042","172.543649","-43.514111","street","Manson Place, Avonhead, Christchurch"
"Manuel Place","Bishopdale","","8053","172.586455","-43.479627","street","Manuel Place, Bishopdale, Christchurch"
"Manuka Street","Mairehau","","8013","172.6475","-43.496988","street","Manuka Street, Mairehau, Christchurch"
"Manurere Street","Hei Hei","","8042","172.522866","-43.533458","street","Manurere Street, Hei Hei, Christchurch"
"Maple Street","Bishopdale","","8053","172.584859","-43.493178","street","Maple Street, Bishopdale, Christchurch"
"Mapledale Place","Halswell","","8025","172.571377","-43.5923","street","Mapledale Place, Halswell, Christchurch"
"Mappleton Avenue","Russley","","8053","172.574778","-43.496807","street","Mappleton Avenue, Russley, Christchurch"
"Marama Crescent","Mt Pleasant","","8081","172.714778","-43.559376","street","Marama Crescent, Mt Pleasant, Christchurch"
"Marble Wood Drive","Papanui","","8053","172.600805","-43.495691","street","Marble Wood Drive, Papanui, Christchurch"
"Marcella Gardens","Halswell","","8025","172.565931","-43.568468","street","Marcella Gardens, Halswell, Christchurch"
"March Place","Belfast","","8051","172.633121","-43.451579","street","March Place, Belfast, Christchurch"
"Marcroft Street","Woolston","","8062","172.66978","-43.53824","street","Marcroft Street, Woolston, Christchurch"
"Margot Lane","Mt Pleasant","","8081","172.722528","-43.56299","street","Margot Lane, Mt Pleasant, Christchurch"
"Marguerite Place","Halswell","","8025","172.565129","-43.56744","street","Marguerite Place, Halswell, Christchurch"
"Marigold Lane","Bexley","","8061","172.723636","-43.511748","street","Marigold Lane, Bexley, Christchurch"
"Marine Parade","New Brighton","215-368","8061","172.73454","-43.518513","street","Marine Parade, New Brighton, Christchurch"
"Marine Parade","New Brighton","91-211","8083","172.73454","-43.518513","street","Marine Parade, New Brighton, Christchurch"
"Marine Parade","North Beach","","8083","172.73454","-43.518513","street","Marine Parade, North Beach, Christchurch"
"Marine Parade","Southshore","","8062","172.73454","-43.518513","street","Marine Parade, Southshore, Christchurch"
"Marine Parade South New","Brighton","","8062","170.327568","-45.948584","suburb","Brighton, Dunedin"
"Mariners Cove","Cass Bay","","8082","172.689657","-43.602694","street","Mariners Cove, Cass Bay, Christchurch"
"Marion Place","Lincoln","","7608","172.476001","-43.64284","street","Marion Place, Lincoln, Selwyn"
"Marion Street","Hoon Hay","","8025","172.600009","-43.565736","street","Marion Street, Hoon Hay, Christchurch"
"Mark Treffers Drive","North Beach","","8083","172.708942","-43.490543","street","Mark Treffers Drive, North Beach, Christchurch"
"Market Street","Leeston","","7632","172.295467","-43.760523","street","Market Street, Leeston, Selwyn"
"Markham Way","Rolleston","","7614","172.38384","-43.594514","street","Markham Way, Rolleston, Selwyn"
"Marlborough Street","Phillipstown","","8011","172.670405","-43.534832","street","Marlborough Street, Phillipstown, Christchurch"
"Marlene Street","Casebrook","","8051","172.608571","-43.475961","street","Marlene Street, Casebrook, Christchurch"
"Marley View Street","Barrington","","8024","172.616336","-43.568723","street","Marley View Street, Barrington, Christchurch"
"Marlin Place","Mairehau","","8013","172.648434","-43.503596","street","Marlin Place, Mairehau, Christchurch"
"Marlow Road","Aranui","","8061","172.704782","-43.513443","street","Marlow Road, Aranui, Christchurch"
"Marlow Road","Bexley","","8061","172.704782","-43.513443","street","Marlow Road, Bexley, Christchurch"
"Maronan Street","Woolston","","8023","172.68454","-43.551053","street","Maronan Street, Woolston, Christchurch"
"Marquess Avenue","Halswell","","8025","172.550911","-43.57031","street","Marquess Avenue, Halswell, Christchurch"
"Marriner Street","Sumner","","8081","172.758476","-43.567984","street","Marriner Street, Sumner, Christchurch"
"Marriotts Road","North Beach","","8083","172.713649","-43.494316","street","Marriotts Road, North Beach, Christchurch"
"Marriotts Road New","Brighton","","8083","172.713649","-43.494316","street","Marriotts Road, North New Brighton, Christchurch"
"Marsack Crescent","Halswell","","8025","172.577765","-43.575974","street","Marsack Crescent, Halswell, Christchurch"
"Marsden Street","Heathcote Valley","","8022","172.709377","-43.577439","street","Marsden Street, Heathcote Valley, Christchurch"
"Marshall Street","Woolston","","8023","172.673756","-43.553655","street","Marshall Street, Woolston, Christchurch"
"Marshland Road","Shirley","2-220 (Even Numbers)","8061","172.659419","-43.474276","street","Marshland Road, Shirley, Christchurch"
"Marshland Road","Shirley","7-185 (Odd Numbers)","8061","172.659419","-43.474276","street","Marshland Road, Shirley, Christchurch"
"Marshland Road","Styx","240-800 (Even Numbers)","8083","172.659419","-43.474276","street","Marshland Road, Styx, Christchurch"
"Marshland Road","Styx","189-767 (Odd Numbers)","8083","172.659419","-43.474276","street","Marshland Road, Styx, Christchurch"
"Marshs Road","Halswell","350-566","8025","172.512724","-43.566036","street","Marshs Road, Halswell, Christchurch;Selwyn"
"Marshs Road","Islington","3-42","8042","172.512724","-43.566036","street","Marshs Road, Islington, Christchurch;Selwyn"
"Marshwood Place","Sockburn","","8042","172.553957","-43.537512","street","Marshwood Place, Sockburn, Christchurch"
"Martbern Crescent","Bishopdale","","8053","172.58954","-43.482237","street","Martbern Crescent, Bishopdale, Christchurch"
"Martell Place","Hoon Hay","","8025","172.592618","-43.560599","street","Martell Place, Hoon Hay, Christchurch"
"Martin Avenue","Beckenham","","8023","172.643368","-43.564109","street","Martin Avenue, Beckenham, Christchurch"
"Martindales Road","Heathcote Valley","","8022","172.708766","-43.575855","street","Martindales Road, Heathcote Valley, Christchurch"
"Marwick Place","Redwood","","8051","172.622635","-43.478089","street","Marwick Place, Redwood, Christchurch"
"Mary Mclean Place","Hillsborough","","8022","172.670304","-43.556137","street","Mary McLean Place, Hillsborough, Christchurch"
"Mary Muller Drive","Hillsborough","","8022","172.689984","-43.567887","street","Mary Muller Drive, Hillsborough, Christchurch"
"Mary Street","Papanui","","8053","172.611926","-43.496375","street","Mary Street, Papanui, Christchurch"
"Maryhill Avenue","Hoon Hay","","8025","172.604347","-43.563772","street","Maryhill Avenue, Hoon Hay, Christchurch"
"Marylands Place","Middleton","","8024","172.594147","-43.545604","street","Marylands Place, Middleton, Christchurch"
"Marymere Place","Hei Hei","","8042","172.517828","-43.532277","street","Marymere Place, Hei Hei, Christchurch"
"Mascot Place","Burwood","","8061","172.67685","-43.504272","street","Mascot Place, Burwood, Christchurch"
"Masefield Drive","Rolleston","","7614","172.389752","-43.595812","street","Masefield Drive, Rolleston, Selwyn"
"Masham Road","Broomfield","","8042","172.532659","-43.523864","street","Masham Road, Broomfield, Christchurch"
"Mason Place","Sockburn","","8042","172.552627","-43.531998","street","Mason Place, Sockburn, Christchurch"
"Massey Crescent","St Albans","","8014","172.632783","-43.510113","street","Massey Crescent, St Albans, Christchurch"
"Matai Street East","Riccarton","","8011","172.610536","-43.525224","street","Matai Street East, Riccarton, Christchurch"
"Matai Street West","Riccarton","","8011","172.605798","-43.525559","street","Matai Street West, Riccarton, Christchurch"
"Matangi Street","Islington","","8042","172.516986","-43.534486","street","Matangi Street, Islington, Christchurch"
"Mataroa Place","Parklands","","8083","172.681892","-43.478262","street","Mataroa Place, Parklands, Christchurch"
"Mathers Road","Hoon Hay","","8025","172.595109","-43.560608","street","Mathers Road, Hoon Hay, Christchurch"
"Mathesons Road","Phillipstown","","8011","172.659835","-43.537778","street","Mathesons Road, Phillipstown, Christchurch"
"Mathesons Road","Waltham","","8011","172.659835","-43.537778","street","Mathesons Road, Waltham, Christchurch"
"Mathias Place","Kaiapoi","","7630","172.646234","-43.391595","street","Mathias Place, Kaiapoi, Waimakariri"
"Mathias Street","St Albans","","8052","172.623063","-43.502369","street","Mathias Street, St Albans, Christchurch"
"Matipo Street","Middleton","","8041","172.596281","-43.535512","street","Matipo Street, Middleton, Christchurch"
"Matipo Street","Riccarton","","8041","172.596281","-43.535512","street","Matipo Street, Riccarton, Christchurch"
"Matisse Close","Rolleston","","7614","172.381888","-43.601062","street","Matisse Close, Rolleston, Selwyn"
"Matisse Place","Burnside","","8053","172.580125","-43.51044","street","Matisse Place, Burnside, Christchurch"
"Matlock Street","Woolston","","8062","172.667825","-43.542396","street","Matlock Street, Woolston, Christchurch"
